Based on Quarterly Estimates of GDP for April - June 2025 (Second Preliminary Estimates）,,GDP Gap,,Potential GDP Growth Rate,Total Factor Productivity (TFP),Capital Input,Hours Worked,Number of Employed
,,0.0,※,-,-,-,-,-
,,-1.5,,4.2,1.8,1.7,0.0,0.7
,Ⅲ,-0.5,,4.2,1.8,1.7,0.0,0.7
,Ⅳ,0.4,,4.2,1.8,1.7,0.0,0.7
1981,Ⅰ,0.3,,4.2,1.8,1.7,0.0,0.7
,Ⅱ,0.2,,4.2,1.7,1.7,0.0,0.7
,Ⅲ,-0.4,,4.2,1.7,1.7,0.0,0.7
,Ⅳ,-0.9,,4.1,1.7,1.7,0.0,0.7
1982,Ⅰ,-0.6,,4.1,1.7,1.7,0.0,0.7
,Ⅱ,-0.9,,4.1,1.7,1.7,0.0,0.7
,Ⅲ,-1.5,,4.1,1.7,1.7,0.0,0.7
,Ⅳ,-1.1,,4.1,1.7,1.7,0.0,0.7
1983,Ⅰ,-1.4,,4.1,1.7,1.7,0.0,0.7
,Ⅱ,-1.7,,4.1,1.8,1.6,0.0,0.7
,Ⅲ,-1.4,,4.2,1.8,1.6,0.0,0.7
,Ⅳ,-1.7,,4.2,1.8,1.6,0.0,0.7
1984,Ⅰ,-1.8,,4.2,1.8,1.6,0.0,0.7
,Ⅱ,-0.7,,4.2,1.8,1.7,0.0,0.6
,Ⅲ,-1.0,,4.2,1.9,1.7,0.0,0.6
,Ⅳ,-1.7,,4.3,1.9,1.7,0.0,0.6
1985,Ⅰ,-1.4,,4.3,1.9,1.7,0.0,0.6
,Ⅱ,-0.6,,4.3,1.9,1.7,0.0,0.6
,Ⅲ,-0.2,,4.3,1.9,1.7,0.0,0.6
,Ⅳ,0.3,,4.3,1.9,1.7,0.0,0.6
1986,Ⅰ,-0.7,,4.3,1.9,1.8,-0.1,0.7
,Ⅱ,-1.5,,4.4,1.9,1.8,-0.1,0.7
,Ⅲ,-1.8,,4.4,1.9,1.8,-0.1,0.7
,Ⅳ,-1.8,,4.4,1.9,1.9,-0.1,0.7
