毎月勤労統計調査(MONTHLY LABOUR SURVEY),,,,,賃金指数(Wage indices)　所定内給与(Scheduled cash earnings),,,,,,,,,,,,,,,
　　事業所規模(Size of establishments)：,,,,,３０人以上(Establishments with 30 or more employees),,,,,,,,,,,,,,,
　　就業形態(Type of Employment):,,,,,就業形態計(Total),,,,,,,,,,,,,,,
　　産業(Industry):,,,,,調査産業計(Industries covered),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
　指数(Indices),,,,令和２年平均＝１００(2020 average = 100),,,,,,,,,,,,,,,,
年,1-12,1-6,7-12,1-3,4-6,7-9,10-12,1,2,3,4,5,6,7,8,9,10,11,12,4-3
year,年平均,上半期,下半期,第１四半期,第２四半期,第３四半期,第４四半期,１月,２月,３月,４月,５月,６月,７月,８月,９月,１０月,１１月,１２月,年度平均
,year av.,1st Half,2nd Half,1st Qr.,2nd Qr.,3rd Qr.,4th Qr.,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.,fiscal y. av.
1952,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1953,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1954,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1955,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1956,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1957,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1958,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1959,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1960,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1961,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1962,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1963,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1964,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1965,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1966,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1967,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1968,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1969,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1970,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1971,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1972,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1973,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1974,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1975,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1976,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1977,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1978,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1979,-,-,59.3,-,58.0,59.0,59.5,-,-,-,57.5,57.7,58.8,59.1,58.9,59.1,59.3,59.4,59.7,59.1
1980,61.4,60.5,62.3,59.8,61.2,62.1,62.6,59.5,60.0,60.0,60.6,61.0,62.1,62.2,62.0,62.1,62.3,62.5,62.9,62.2
1981,64.7,63.8,65.6,62.9,64.6,65.4,65.8,62.6,63.1,63.0,63.9,64.5,65.4,65.5,65.2,65.5,65.6,65.6,66.2,65.5
1982,68.0,66.9,69.1,66.1,67.7,68.9,69.3,65.9,66.2,66.1,67.0,67.4,68.8,69.1,68.7,69.0,69.3,69.3,69.4,68.8
1983,70.1,69.7,70.6,69.1,70.2,70.5,70.7,68.8,69.2,69.4,70.1,69.9,70.7,70.6,70.4,70.5,70.5,70.5,71.0,70.6
1984,72.2,71.5,72.9,70.8,72.2,72.7,73.0,70.5,70.8,71.1,71.9,71.8,72.8,72.8,72.4,72.8,72.9,72.9,73.3,72.7
1985,74.2,73.7,74.8,73.1,74.2,74.6,74.9,72.8,73.2,73.2,73.8,74.0,74.9,74.8,74.3,74.8,74.5,74.8,75.4,74.8
1986,76.5,76.1,77.0,75.6,76.6,76.9,77.0,75.3,75.8,75.6,76.4,76.4,77.0,77.0,76.7,76.9,76.8,77.0,77.3,76.9
1987,78.2,77.8,78.6,77.2,78.3,78.5,78.7,77.0,77.3,77.4,78.2,77.8,78.8,78.6,78.3,78.6,78.5,78.7,79.0,78.7
1988,80.3,79.7,80.9,79.1,80.3,80.8,81.1,78.8,79.2,79.3,80.1,79.9,81.0,80.9,80.5,80.9,80.9,80.9,81.5,80.9
1989,82.8,82.0,83.6,81.3,82.8,83.4,83.9,80.9,81.4,81.5,82.5,82.3,83.6,83.6,83.1,83.5,83.7,83.8,84.1,83.5
1990,85.9,84.9,86.9,83.8,86.0,86.7,87.0,83.4,83.9,84.1,85.2,85.6,87.2,87.0,86.6,86.6,86.8,86.9,87.3,86.8
1991,89.2,88.4,90.1,87.3,89.4,89.9,90.3,86.8,87.8,87.4,89.0,88.9,90.2,90.0,89.7,90.0,90.0,90.3,90.6,90.0
1992,92.4,91.5,93.3,90.4,92.6,93.2,93.4,90.0,90.6,90.7,92.3,92.0,93.4,93.6,92.9,93.2,93.2,93.5,93.5,93.2
1993,94.9,94.3,95.5,93.5,95.1,95.4,95.6,93.2,93.5,93.9,95.2,94.5,95.5,95.6,95.1,95.4,95.5,95.6,95.8,95.5
1994,97.2,96.6,97.8,95.8,97.4,97.7,97.8,95.5,95.6,96.2,97.6,96.6,98.1,98.2,97.4,97.5,97.7,97.6,98.1,97.7
1995,98.9,98.4,99.5,97.7,99.0,99.4,99.7,97.3,97.6,98.2,99.1,98.3,99.7,99.4,99.1,99.6,99.4,99.7,99.9,99.4
