毎月勤労統計調査(MONTHLY LABOUR SURVEY),,,,,"実質賃金指数(Real wage indices)　現金給与総額(Total cash earnings)　消費者物価指数（持家の帰属家賃を除く総合）による(Deflated by CPI for All items, less imputed rent)",,,,,,,,,,,,,,,
　　事業所規模(Size of establishments)：,,,,,５人以上(Establishments with 5 or more employees),,,,,,,,,,,,,,,
　　就業形態(Type of Employment):,,,,,就業形態計(Total),,,,,,,,,,,,,,,
　　産業(Industry):,,,,,調査産業計(Industries covered),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
　指数(Indices),,,,令和２年平均＝１００(2020 average = 100),,,,,,,,,,,,,,,,
年,1-12,1-6,7-12,1-3,4-6,7-9,10-12,1,2,3,4,5,6,7,8,9,10,11,12,4-3
year,年平均,上半期,下半期,第１四半期,第２四半期,第３四半期,第４四半期,１月,２月,３月,４月,５月,６月,７月,８月,９月,１０月,１１月,１２月,年度平均
,year av.,1st Half,2nd Half,1st Qr.,2nd Qr.,3rd Qr.,4th Qr.,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.,fiscal y. av.
1952,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1953,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1954,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1955,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1956,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1957,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1958,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1959,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1960,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1961,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1962,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1963,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1964,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1965,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1966,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1967,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1968,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1969,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1970,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1971,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1972,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1973,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1974,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1975,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1976,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1977,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1978,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1979,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1980,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1981,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1982,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1983,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1984,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1985,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1986,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1987,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1988,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1989,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1990,111.8,99.2,124.0,90.4,108.1,110.3,137.7,92.7,85.3,93.0,87.7,86.5,150.3,146.7,97.9,86.3,86.0,89.1,238.1,111.6
1991,113.1,99.8,126.1,90.4,109.3,112.3,139.6,90.7,86.3,94.0,88.4,87.1,152.3,148.2,101.5,87.5,86.9,90.1,242.1,113.3
1992,113.5,101.1,125.9,92.0,109.9,112.9,138.8,93.7,87.3,95.1,88.6,87.9,153.4,151.0,100.4,87.2,87.6,91.0,238.2,113.3
1993,112.4,100.6,124.1,91.5,109.6,111.1,137.2,92.9,87.4,94.4,89.0,88.1,151.8,146.1,99.8,87.5,87.6,92.0,232.2,112.6
1994,113.6,102.9,124.1,92.3,113.6,110.1,138.1,94.5,87.8,94.5,90.2,89.0,161.8,141.7,99.6,89.4,89.1,93.0,232.9,114.1
1995,115.1,104.1,126.2,94.1,113.9,112.3,140.1,95.8,89.7,97.0,91.7,90.2,159.8,145.8,100.5,90.7,90.9,94.6,235.0,115.5
1996,116.5,105.5,127.4,95.6,115.3,113.9,140.8,96.5,91.5,98.8,93.2,91.5,161.2,145.9,104.0,91.9,91.9,96.6,233.9,117.1
1997,116.4,106.6,126.0,98.3,114.5,113.2,138.7,102.4,92.6,100.0,93.2,91.4,159.1,146.5,102.7,90.6,90.7,94.6,231.2,115.7
1998,114.1,104.9,123.1,96.2,113.7,111.4,134.7,99.7,90.7,98.3,92.3,90.3,158.6,143.2,100.9,90.2,90.5,93.9,220.3,113.7
1999,112.7,103.5,122.1,94.9,112.1,110.1,134.2,96.2,90.2,98.1,92.3,90.6,153.6,139.9,100.0,90.7,90.9,95.0,217.3,113.1
2000,113.9,105.1,122.8,95.9,114.1,110.9,134.8,98.1,91.6,97.9,93.4,91.5,157.5,139.7,101.1,92.1,92.6,96.1,215.8,114.0
